Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
55539565,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"Grant, Adam M.",,"=""""","=""9781984878106""",0,4.29,Viking Books,Hardcover,307,2021,2021,,2021/02/07,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
56239961,The Underdog Paradox: Secrets to Battling Adversity and Stories of Real Life Superheroes,Jamie Russo,"Russo, Jamie",,"=""""","=""""",0,4.76,,Kindle Edition,111,2020,,,2021/03/13,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
22085568,The Culture Map: Breaking Through the Invisible Boundaries of Global Business,Erin Meyer,"Meyer, Erin",,"=""""","=""""",5,4.37,PublicAffairs,Kindle Edition,290,2014,2014,2021/03/12,2021/03/03,,,read,,,,1,,,0,,,,,
21343,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,"Lencioni, Patrick",,"=""0787960756""","=""9780787960759""",5,4.07,Jossey-Bass,Hardcover,227,2002,2002,,2021/03/07,,,read,,,,1,,,0,,,,,
52283963,The Mom Test: How to talk to customers & learn if your business is a good idea when everyone is lying to you,Rob  Fitzpatrick,"Fitzpatrick, Rob",,"=""""","=""""",0,4.45,Robfitz Ltd,Kindle Edition,138,2019,2013,,2020/02/01,,,read,,,,1,,,0,,,,,
22668729,Hooked: How to Build Habit-Forming Products,Nir   Eyal,"Eyal, Nir",,"=""1591847788""","=""9781591847786""",5,4.09,Portfolio,Hardcover,256,2014,2013,2021/01/24,2020/11/16,,,read,,,,1,,,0,,,,,
40167835,The Business Value of Developer Relations: How and Why Technical Communities Are Key to Your Success,Mary Thengvall,"Thengvall, Mary",,"=""1484237471""","=""9781484237472""",0,4.44,Apress,Paperback,237,2018,,,2021/01/22,to-read,to-read (#39),to-read,,,,0,,,0,,,,,
11878168,Anything You Want,Derek Sivers,"Sivers, Derek",,"=""""","=""""",0,4.09,,Kindle Edition,90,,2011,,2021/01/18,to-read,to-read (#38),to-read,,,,0,,,0,,,,,
40672036,Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,"Newport, Cal",,"=""""","=""""",0,4.07,Portfolio,Kindle Edition,302,2019,2019,,2021/01/17,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
4865,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",0,4.21,Gallery Books,Paperback,288,1998,1936,,2021/01/17,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
